SNR,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,4-PAM,16-QAM,64-QAM,QPSK,WBFM
-20,0.0,0.02,0.935,0.035,0.01,0.015,0.015,0.005,0.01,0.0,0.035
-18,0.0,0.02,0.93,0.015,0.015,0.03,0.02,0.0,0.02,0.0,0.05
-16,0.0,0.045,0.915,0.05,0.015,0.025,0.02,0.015,0.05,0.0,0.08
-14,0.01,0.08,0.92,0.02,0.0,0.03,0.015,0.015,0.195,0.0,0.135
-12,0.01,0.075,0.885,0.02,0.005,0.02,0.095,0.085,0.3,0.0,0.255
-10,0.015,0.14,0.91,0.07,0.055,0.075,0.34,0.225,0.42,0.025,0.385
-8,0.055,0.165,0.905,0.215,0.125,0.4,0.59,0.485,0.7,0.025,0.65
-6,0.18,0.305,0.905,0.41,0.44,0.695,0.85,0.55,0.885,0.09,0.665
-4,0.41,0.36,0.91,0.81,0.82,0.815,0.985,0.56,0.87,0.19,0.64
-2,0.645,0.475,0.935,0.935,0.955,0.92,0.985,0.705,0.915,0.51,0.72
0,0.86,0.55,0.915,0.99,0.99,0.965,0.98,0.89,0.92,0.86,0.68
2,0.925,0.7,0.895,0.995,1.0,1.0,0.98,0.905,0.94,0.975,0.52
4,0.96,0.76,0.89,0.99,1.0,1.0,1.0,0.88,0.915,1.0,0.49
6,0.965,0.85,0.92,0.985,1.0,1.0,0.98,0.925,0.94,0.99,0.57
8,0.96,0.8,0.945,0.985,1.0,0.99,0.985,0.945,0.925,0.985,0.525
10,0.98,0.855,0.92,1.0,1.0,0.995,0.99,0.93,0.935,0.995,0.615
12,0.975,0.82,0.91,0.995,1.0,1.0,0.985,0.945,0.935,0.985,0.595
14,0.98,0.795,0.92,0.97,0.995,0.995,0.985,0.94,0.925,0.97,0.59
16,0.985,0.91,0.905,0.975,1.0,1.0,0.995,0.935,0.95,0.98,0.465
18,0.985,0.865,0.915,0.99,0.995,1.0,0.995,0.945,0.925,0.99,0.55
